Year,Country_of_Origin_ISO,Country_of_Origin,Country_of_Asylum,Country_of_Asylum_ISO,Country_of_Resettlement_ISO,Country_of_Resettlement,Total_submissons_persons
2006,SYR,"Syrian Arab Rep.",All others,"All others",BEL,"Belgium",1
2006,IRQ,"Iraq",All others,"All others",DNK,"Denmark",4
2006,SYR,"Syrian Arab Rep.",All others,"All others",CAN,"Canada",3
2006,IRQ,"Iraq",All others,"All others",FIN,"Finland",4
2006,SYR,"Syrian Arab Rep.",All others,"All others",GBR,"United Kingdom of Great Britain and Northern Ireland",1
2006,IRQ,"Iraq",All others,"All others",GBR,"United Kingdom of Great Britain and Northern Ireland",12
2006,SYR,"Syrian Arab Rep.",All others,"All others",NLD,"Netherlands",3
2006,IRQ,"Iraq",All others,"All others",IRL,"Ireland",2
2006,SYR,"Syrian Arab Rep.",All others,"All others",USA,"United States of America",74
2006,IRQ,"Iraq",All others,"All others",NLD,"Netherlands",12
2006,IRQ,"Iraq",All others,"All others",NOR,"Norway",17
2006,IRQ,"Iraq",TTO,"Trinidad and Tobago",NZL,"New Zealand",1
2006,IRQ,"Iraq",All others,"All others",NZL,"New Zealand",10
2006,IRQ,"Iraq",All others,"All others",SWE,"Sweden",143
2007,IRQ,"Iraq",All others,"All others",DNK,"Denmark",70
2007,IRQ,"Iraq",All others,"All others",USA,"United States of America",15783
2007,IRQ,"Iraq",All others,"All others",ESP,"Spain",5
2007,SYR,"Syrian Arab Rep.",All others,"All others",CAN,"Canada",12
2007,IRQ,"Iraq",All others,"All others",FIN,"Finland",269
2007,SYR,"Syrian Arab Rep.",All others,"All others",GBR,"United Kingdom of Great Britain and Northern Ireland",8
2007,IRQ,"Iraq",CUB,"Cuba",NOR,"Norway",1
2007,IRQ,"Iraq",All others,"All others",FRA,"France",4
2007,SYR,"Syrian Arab Rep.",All others,"All others",NOR,"Norway",12
2007,IRQ,"Iraq",All others,"All others",GBR,"United Kingdom of Great Britain and Northern Ireland",290
2007,SYR,"Syrian Arab Rep.",All others,"All others",SWE,"Sweden",1
2007,IRQ,"Iraq",All others,"All others",IRL,"Ireland",21
2007,SYR,"Syrian Arab Rep.",All others,"All others",USA,"United States of America",19
2007,IRQ,"Iraq",All others,"All others",MEX,"Mexico",15
2007,IRQ,"Iraq",All others,"All others",AUS,"Australia",1967
2007,IRQ,"Iraq",All others,"All others",NLD,"Netherlands",238
2007,IRQ,"Iraq",PER,"Peru",USA,"United States of America",14
2007,IRQ,"Iraq",All others,"All others",BRA,"Brazil",4
2007,IRQ,"Iraq",All others,"All others",NOR,"Norway",125
2007,IRQ,"Iraq",All others,"All others",CAN,"Canada",1515
2007,IRQ,"Iraq",All others,"All others",NZL,"New Zealand",321
2007,IRQ,"Iraq",CUB,"Cuba",DNK,"Denmark",1
2007,IRQ,"Iraq",All others,"All others",DEU,"Germany",1
2007,IRQ,"Iraq",All others,"All others",SWE,"Sweden",984
2008,IRQ,"Iraq",CUB,"Cuba",FRA,"France",1
2008,IRQ,"Iraq",All others,"All others",ESP,"Spain",2
2008,IRQ,"Iraq",All others,"All others",SWE,"Sweden",534
2008,IRQ,"Iraq",All others,"All others",FIN,"Finland",431
2008,IRQ,"Iraq",ECU,"Ecuador",SWE,"Sweden",1
2008,IRQ,"Iraq",All others,"All others",FRA,"France",350
2008,IRQ,"Iraq",ECU,"Ecuador",USA,"United States of America",1
2008,IRQ,"Iraq",All others,"All others",GBR,"United Kingdom of Great Britain and Northern Ireland",762
2008,IRQ,"Iraq",All others,"All others",USA,"United States of America",25672
2008,IRQ,"Iraq",CUB,"Cuba",NOR,"Norway",1
2008,IRQ,"Iraq",All others,"All others",IRL,"Ireland",12
2008,IRQ,"Iraq",HTI,"Haiti",USA,"United States of America",2
2008,SYR,"Syrian Arab Rep.",All others,"All others",CAN,"Canada",10
2008,IRQ,"Iraq",All others,"All others",LIE,"Liechtenstein",4
2008,IRQ,"Iraq",PER,"Peru",AUS,"Australia",1
2008,SYR,"Syrian Arab Rep.",All others,"All others",NLD,"Netherlands",1
2008,IRQ,"Iraq",CUB,"Cuba",USA,"United States of America",2
2008,IRQ,"Iraq",All others,"All others",LUX,"Luxembourg",17
2008,IRQ,"Iraq",PER,"Peru",SWE,"Sweden",2
2008,IRQ,"Iraq",CRI,"Costa Rica",USA,"United States of America",3
2008,IRQ,"Iraq",All others,"All others",AUS,"Australia",2332
2008,SYR,"Syrian Arab Rep.",All others,"All others",NOR,"Norway",2
2008,IRQ,"Iraq",ECU,"Ecuador",FIN,"Finland",1
2008,IRQ,"Iraq",All others,"All others",NLD,"Netherlands",177
2008,IRQ,"Iraq",All others,"All others",CAN,"Canada",2698
2008,SYR,"Syrian Arab Rep.",All others,"All others",SWE,"Sweden",11
2008,IRQ,"Iraq",ECU,"Ecuador",NLD,"Netherlands",1
2008,IRQ,"Iraq",All others,"All others",NOR,"Norway",285
2008,IRQ,"Iraq",All others,"All others",CHE,"Switzerland",12
2008,SYR,"Syrian Arab Rep.",All others,"All others",USA,"United States of America",73
2008,IRQ,"Iraq",ECU,"Ecuador",NOR,"Norway",1
2008,IRQ,"Iraq",All others,"All others",NZL,"New Zealand",141
2008,IRQ,"Iraq",All others,"All others",DNK,"Denmark",46
2008,IRQ,"Iraq",ECU,"Ecuador",NZL,"New Zealand",1
2008,IRQ,"Iraq",All others,"All others",PRT,"Portugal",5
2008,IRQ,"Iraq",VEN,"Venezuela (Bolivarian Republic of)",CAN,"Canada",14
2009,SYR,"Syrian Arab Rep.",All others,"All others",GBR,"United Kingdom of Great Britain and Northern Ireland",1
2009,IRQ,"Iraq",All others,"All others",BEL,"Belgium",64
2009,IRQ,"Iraq",All others,"All others",NLD,"Netherlands",285
2009,SYR,"Syrian Arab Rep.",All others,"All others",NOR,"Norway",2
2009,IRQ,"Iraq",All others,"All others",CAN,"Canada",1981
2009,IRQ,"Iraq",All others,"All others",NOR,"Norway",273
2009,SYR,"Syrian Arab Rep.",All others,"All others",SWE,"Sweden",30
2009,IRQ,"Iraq",All others,"All others",CHE,"Switzerland",46
2009,IRQ,"Iraq",All others,"All others",NZL,"New Zealand",10
2009,SYR,"Syrian Arab Rep.",All others,"All others",USA,"United States of America",68
2009,IRQ,"Iraq",All others,"All others",DEU,"Germany",3582
2009,IRQ,"Iraq",All others,"All others",PRT,"Portugal",11
2009,IRQ,"Iraq",All others,"All others",DNK,"Denmark",23
2009,IRQ,"Iraq",All others,"All others",SWE,"Sweden",1042
2009,IRQ,"Iraq",All others,"All others",ESP,"Spain",1
2009,IRQ,"Iraq",All others,"All others",USA,"United States of America",25621
2009,IRQ,"Iraq",All others,"All others",FIN,"Finland",478
2009,SYR,"Syrian Arab Rep.",All others,"All others",AUS,"Australia",1
2009,IRQ,"Iraq",All others,"All others",FRA,"France",44
2009,SYR,"Syrian Arab Rep.",All others,"All others",CAN,"Canada",11
2009,IRQ,"Iraq",All others,"All others",GBR,"United Kingdom of Great Britain and Northern Ireland",822
2009,SYR,"Syrian Arab Rep.",All others,"All others",DEU,"Germany",4
2009,IRQ,"Iraq",All others,"All others",ITA,"Italy",212
2009,SYR,"Syrian Arab Rep.",All others,"All others",FIN,"Finland",4
2009,IRQ,"Iraq",All others,"All others",AUS,"Australia",1550
2009,IRQ,"Iraq",All others,"All others",LUX,"Luxembourg",22
2010,IRQ,"Iraq",All others,"All others",GBR,"United Kingdom of Great Britain and Northern Ireland",311
2010,SYR,"Syrian Arab Rep.",All others,"All others",NOR,"Norway",1
2010,IRQ,"Iraq",All others,"All others",IRL,"Ireland",27
2010,SYR,"Syrian Arab Rep.",All others,"All others",SWE,"Sweden",17
2010,IRQ,"Iraq",All others,"All others",NLD,"Netherlands",164
2010,SYR,"Syrian Arab Rep.",All others,"All others",USA,"United States of America",70
2010,IRQ,"Iraq",All others,"All others",NOR,"Norway",130
2010,IRQ,"Iraq",All others,"All others",AUS,"Australia",1241
2010,IRQ,"Iraq",All others,"All others",NZL,"New Zealand",27
2010,IRQ,"Iraq",All others,"All others",CAN,"Canada",1976
2010,IRQ,"Iraq",All others,"All others",PRT,"Portugal",25
2010,IRQ,"Iraq",All others,"All others",CHE,"Switzerland",45
2010,IRQ,"Iraq",All others,"All others",SWE,"Sweden",207
2010,IRQ,"Iraq",All others,"All others",DEU,"Germany",168
2010,IRQ,"Iraq",All others,"All others",USA,"United States of America",22114
2010,IRQ,"Iraq",CRI,"Costa Rica",USA,"United States of America",2
2010,IRQ,"Iraq",All others,"All others",DNK,"Denmark",11
2010,SYR,"Syrian Arab Rep.",All others,"All others",CAN,"Canada",19
2010,IRQ,"Iraq",All others,"All others",FIN,"Finland",280
2010,SYR,"Syrian Arab Rep.",All others,"All others",FRA,"France",3
2010,IRQ,"Iraq",All others,"All others",FRA,"France",18
2010,SYR,"Syrian Arab Rep.",All others,"All others",IRL,"Ireland",1
2011,SYR,"Syrian Arab Rep.",All others,"All others",CHE,"Switzerland",36
2011,IRQ,"Iraq",All others,"All others",FRA,"France",9
2011,SYR,"Syrian Arab Rep.",All others,"All others",DNK,"Denmark",1
2011,IRQ,"Iraq",All others,"All others",GBR,"United Kingdom of Great Britain and Northern Ireland",42
2011,SYR,"Syrian Arab Rep.",All others,"All others",FRA,"France",1
2011,IRQ,"Iraq",All others,"All others",IRL,"Ireland",6
2011,SYR,"Syrian Arab Rep.",All others,"All others",NLD,"Netherlands",1
2011,IRQ,"Iraq",All others,"All others",NLD,"Netherlands",110
2011,IRQ,"Iraq",All others,"All others",AUS,"Australia",1154
2011,SYR,"Syrian Arab Rep.",All others,"All others",NOR,"Norway",1
2011,IRQ,"Iraq",All others,"All others",CAN,"Canada",2860
2011,IRQ,"Iraq",All others,"All others",NOR,"Norway",12
2011,SYR,"Syrian Arab Rep.",All others,"All others",SWE,"Sweden",14
2011,IRQ,"Iraq",All others,"All others",CHE,"Switzerland",38
2011,IRQ,"Iraq",All others,"All others",NZL,"New Zealand",214
2011,SYR,"Syrian Arab Rep.",All others,"All others",USA,"United States of America",57
2011,IRQ,"Iraq",All others,"All others",SWE,"Sweden",40
2011,IRQ,"Iraq",All others,"All others",USA,"United States of America",15493
2011,SYR,"Syrian Arab Rep.",All others,"All others",AUS,"Australia",1
2011,IRQ,"Iraq",All others,"All others",DNK,"Denmark",6
2011,SYR,"Syrian Arab Rep.",All others,"All others",CAN,"Canada",13
2011,IRQ,"Iraq",All others,"All others",FIN,"Finland",10
2012,IRQ,"Iraq",All others,"All others",FIN,"Finland",38
2012,SYR,"Syrian Arab Rep.",All others,"All others",NOR,"Norway",3
2012,IRQ,"Iraq",All others,"All others",FRA,"France",1
2012,SYR,"Syrian Arab Rep.",All others,"All others",NZL,"New Zealand",1
2012,IRQ,"Iraq",All others,"All others",GBR,"United Kingdom of Great Britain and Northern Ireland",86
2012,SYR,"Syrian Arab Rep.",All others,"All others",SWE,"Sweden",8
2012,IRQ,"Iraq",All others,"All others",NLD,"Netherlands",115
2012,SYR,"Syrian Arab Rep.",All others,"All others",USA,"United States of America",12
2012,IRQ,"Iraq",All others,"All others",NOR,"Norway",18
2012,SYR,"Syrian Arab Rep.",TTO,"Trinidad and Tobago",USA,"United States of America",4
2012,IRQ,"Iraq",All others,"All others",NZL,"New Zealand",61
2012,SYR,"Syrian Arab Rep.",CUB,"Cuba",CAN,"Canada",2
2012,IRQ,"Iraq",All others,"All others",SWE,"Sweden",26
2012,IRQ,"Iraq",All others,"All others",AUS,"Australia",3275
2012,IRQ,"Iraq",All others,"All others",USA,"United States of America",6392
2012,IRQ,"Iraq",All others,"All others",CAN,"Canada",582
2012,SYR,"Syrian Arab Rep.",All others,"All others",AUS,"Australia",2
2012,SYR,"Syrian Arab Rep.",CUB,"Cuba",SWE,"Sweden",48
2012,IRQ,"Iraq",All others,"All others",DEU,"Germany",160
2012,SYR,"Syrian Arab Rep.",All others,"All others",CAN,"Canada",9
2012,IRQ,"Iraq",All others,"All others",DNK,"Denmark",6
2012,SYR,"Syrian Arab Rep.",All others,"All others",CHE,"Switzerland",1
2013,IRQ,"Iraq",All others,"All others",GBR,"United Kingdom of Great Britain and Northern Ireland",175
2013,SYR,"Syrian Arab Rep.",All others,"All others",CHE,"Switzerland",21
2013,SYR,"Syrian Arab Rep.",All others,"All others",SWE,"Sweden",424
2013,IRQ,"Iraq",All others,"All others",NLD,"Netherlands",167
2013,SYR,"Syrian Arab Rep.",CUB,"Cuba",USA,"United States of America",11
2013,SYR,"Syrian Arab Rep.",All others,"All others",DEU,"Germany",4253
2013,SYR,"Syrian Arab Rep.",All others,"All others",USA,"United States of America",96
2013,IRQ,"Iraq",All others,"All others",NOR,"Norway",6
2013,SYR,"Syrian Arab Rep.",All others,"All others",DNK,"Denmark",1
2013,IRQ,"Iraq",All others,"All others",NZL,"New Zealand",79
2013,SYR,"Syrian Arab Rep.",All others,"All others",FRA,"France",72
2013,IRQ,"Iraq",All others,"All others",PRT,"Portugal",6
2013,SYR,"Syrian Arab Rep.",All others,"All others",GBR,"United Kingdom of Great Britain and Northern Ireland",1
2013,IRQ,"Iraq",All others,"All others",AUS,"Australia",2517
2013,IRQ,"Iraq",All others,"All others",ROU,"Romania",82
2013,SYR,"Syrian Arab Rep.",All others,"All others",HUN,"Hungary",5
2013,IRQ,"Iraq",All others,"All others",CAN,"Canada",2365
2013,IRQ,"Iraq",All others,"All others",SWE,"Sweden",3
2013,SYR,"Syrian Arab Rep.",All others,"All others",ISL,"Iceland",1
2013,IRQ,"Iraq",All others,"All others",CHE,"Switzerland",26
2013,IRQ,"Iraq",All others,"All others",USA,"United States of America",7409
2013,SYR,"Syrian Arab Rep.",All others,"All others",LUX,"Luxembourg",25
2013,IRQ,"Iraq",All others,"All others",DEU,"Germany",349
2013,SYR,"Syrian Arab Rep.",All others,"All others",AUS,"Australia",114
2013,SYR,"Syrian Arab Rep.",All others,"All others",NLD,"Netherlands",104
2013,IRQ,"Iraq",All others,"All others",FIN,"Finland",26
2013,SYR,"Syrian Arab Rep.",All others,"All others",AUT,"Austria",32
2013,SYR,"Syrian Arab Rep.",All others,"All others",NOR,"Norway",9
2013,IRQ,"Iraq",All others,"All others",FRA,"France",15
2013,SYR,"Syrian Arab Rep.",All others,"All others",CAN,"Canada",105
2013,SYR,"Syrian Arab Rep.",All others,"All others",NZL,"New Zealand",3
2014,IRQ,"Iraq",All others,"All others",GBR,"United Kingdom of Great Britain and Northern Ireland",110
2014,SYR,"Syrian Arab Rep.",All others,"All others",USA,"United States of America",10186
2014,SYR,"Syrian Arab Rep.",All others,"All others",BLR,"Belarus",24
2014,SYR,"Syrian Arab Rep.",JAM,"Jamaica",USA,"United States of America",3
2014,SYR,"Syrian Arab Rep.",All others,"All others",IRL,"Ireland",114
2014,IRQ,"Iraq",All others,"All others",IRL,"Ireland",9
2014,SYR,"Syrian Arab Rep.",All others,"All others",CAN,"Canada",2816
2014,SYR,"Syrian Arab Rep.",LCA,"Saint Lucia",USA,"United States of America",1
2014,SYR,"Syrian Arab Rep.",All others,"All others",ISL,"Iceland",14
2014,IRQ,"Iraq",All others,"All others",MEX,"Mexico",1
2014,SYR,"Syrian Arab Rep.",CUB,"Cuba",USA,"United States of America",2
2014,SYR,"Syrian Arab Rep.",All others,"All others",CHE,"Switzerland",378
2014,SYR,"Syrian Arab Rep.",All others,"All others",LIE,"Liechtenstein",20
2014,IRQ,"Iraq",All others,"All others",AUS,"Australia",1220
2014,IRQ,"Iraq",All others,"All others",NLD,"Netherlands",20
2014,SYR,"Syrian Arab Rep.",All others,"All others",CZE,"Czechia",11
2014,SYR,"Syrian Arab Rep.",All others,"All others",LUX,"Luxembourg",59
2014,IRQ,"Iraq",All others,"All others",CAN,"Canada",2990
2014,SYR,"Syrian Arab Rep.",BRB,"Barbados",USA,"United States of America",1
2014,IRQ,"Iraq",All others,"All others",NOR,"Norway",17
2014,SYR,"Syrian Arab Rep.",All others,"All others",DEU,"Germany",2108
2014,SYR,"Syrian Arab Rep.",All others,"All others",NLD,"Netherlands",169
2014,IRQ,"Iraq",All others,"All others",CHE,"Switzerland",24
2014,SYR,"Syrian Arab Rep.",CUB,"Cuba",BRA,"Brazil",2
2014,IRQ,"Iraq",All others,"All others",NZL,"New Zealand",109
2014,SYR,"Syrian Arab Rep.",CUW,"Curacao",USA,"United States of America",2
2014,SYR,"Syrian Arab Rep.",All others,"All others",DNK,"Denmark",165
2014,SYR,"Syrian Arab Rep.",All others,"All others",NOR,"Norway",1193
2014,IRQ,"Iraq",All others,"All others",CZE,"Czechia",9
2014,IRQ,"Iraq",All others,"All others",SWE,"Sweden",12
2014,SYR,"Syrian Arab Rep.",All others,"All others",ESP,"Spain",202
2014,SYR,"Syrian Arab Rep.",TTO,"Trinidad and Tobago",USA,"United States of America",5
2014,IRQ,"Iraq",All others,"All others",DEU,"Germany",75
2014,SYR,"Syrian Arab Rep.",All others,"All others",NZL,"New Zealand",122
2014,IRQ,"Iraq",All others,"All others",USA,"United States of America",7115
2014,SYR,"Syrian Arab Rep.",All others,"All others",FIN,"Finland",629
2014,IRQ,"Iraq",All others,"All others",DNK,"Denmark",21
2014,SYR,"Syrian Arab Rep.",All others,"All others",PRT,"Portugal",27
2014,SYR,"Syrian Arab Rep.",All others,"All others",AUS,"Australia",588
2014,SYR,"Syrian Arab Rep.",All others,"All others",FRA,"France",544
2014,IRQ,"Iraq",All others,"All others",FIN,"Finland",37
2014,SYR,"Syrian Arab Rep.",All others,"All others",SWE,"Sweden",782
2014,SYR,"Syrian Arab Rep.",All others,"All others",AUT,"Austria",457
2014,SYR,"Syrian Arab Rep.",All others,"All others",GBR,"United Kingdom of Great Britain and Northern Ireland",242
2014,IRQ,"Iraq",All others,"All others",FRA,"France",9
2014,SYR,"Syrian Arab Rep.",All others,"All others",URY,"Uruguay",188
2014,SYR,"Syrian Arab Rep.",All others,"All others",BEL,"Belgium",96
2014,SYR,"Syrian Arab Rep.",All others,"All others",HUN,"Hungary",4
2015,IRQ,"Iraq",All others,"All others",FRA,"France",10
2015,SYR,"Syrian Arab Rep.",All others,"All others",USA,"United States of America",16286
2015,SYR,"Syrian Arab Rep.",All others,"All others",AUT,"Austria",612
2015,SYR,"Syrian Arab Rep.",ARG,"Argentina",USA,"United States of America",1
2015,SYR,"Syrian Arab Rep.",All others,"All others",HUN,"Hungary",23
2015,IRQ,"Iraq",All others,"All others",GBR,"United Kingdom of Great Britain and Northern Ireland",149
2015,IRQ,"Iraq",All others,"All others",AUS,"Australia",1337
2015,SYR,"Syrian Arab Rep.",All others,"All others",BEL,"Belgium",504
2015,SYR,"Syrian Arab Rep.",All others,"All others",IRL,"Ireland",560
2015,IRQ,"Iraq",All others,"All others",IRL,"Ireland",64
2015,IRQ,"Iraq",All others,"All others",CAN,"Canada",1863
2015,SYR,"Syrian Arab Rep.",All others,"All others",CAN,"Canada",18192
2015,SYR,"Syrian Arab Rep.",ATG,"Antigua and Barbuda",USA,"United States of America",15
2015,SYR,"Syrian Arab Rep.",All others,"All others",ISL,"Iceland",63
2015,IRQ,"Iraq",All others,"All others",ITA,"Italy",59
2015,IRQ,"Iraq",All others,"All others",CHE,"Switzerland",119
2015,SYR,"Syrian Arab Rep.",All others,"All others",CHE,"Switzerland",454
2015,SYR,"Syrian Arab Rep.",All others,"All others",ITA,"Italy",369
2015,IRQ,"Iraq",All others,"All others",NLD,"Netherlands",17
2015,SYR,"Syrian Arab Rep.",All others,"All others",CZE,"Czechia",205
2015,SYR,"Syrian Arab Rep.",All others,"All others",MCO,"Monaco",13
2015,IRQ,"Iraq",All others,"All others",NOR,"Norway",5
2015,SYR,"Syrian Arab Rep.",All others,"All others",DEU,"Germany",448
2015,SYR,"Syrian Arab Rep.",All others,"All others",NLD,"Netherlands",347
2015,IRQ,"Iraq",All others,"All others",NZL,"New Zealand",46
2015,SYR,"Syrian Arab Rep.",All others,"All others",DNK,"Denmark",336
2015,SYR,"Syrian Arab Rep.",All others,"All others",NOR,"Norway",3420
2015,IRQ,"Iraq",All others,"All others",CZE,"Czechia",23
2015,IRQ,"Iraq",All others,"All others",PRT,"Portugal",3
2015,SYR,"Syrian Arab Rep.",All others,"All others",ESP,"Spain",6
2015,SYR,"Syrian Arab Rep.",TTO,"Trinidad and Tobago",USA,"United States of America",4
2015,IRQ,"Iraq",All others,"All others",DEU,"Germany",28
2015,SYR,"Syrian Arab Rep.",All others,"All others",NZL,"New Zealand",604
2015,IRQ,"Iraq",All others,"All others",SWE,"Sweden",124
2015,SYR,"Syrian Arab Rep.",All others,"All others",FIN,"Finland",763
2015,IRQ,"Iraq",All others,"All others",DNK,"Denmark",5
2015,SYR,"Syrian Arab Rep.",All others,"All others",PRT,"Portugal",20
2015,IRQ,"Iraq",All others,"All others",USA,"United States of America",7304
2015,SYR,"Syrian Arab Rep.",All others,"All others",FRA,"France",1315
2015,IRQ,"Iraq",All others,"All others",FIN,"Finland",5
2015,SYR,"Syrian Arab Rep.",All others,"All others",SWE,"Sweden",707
2015,SYR,"Syrian Arab Rep.",All others,"All others",AUS,"Australia",5317
2015,SYR,"Syrian Arab Rep.",All others,"All others",GBR,"United Kingdom of Great Britain and Northern Ireland",2721
2016,SYR,"Syrian Arab Rep.",All others,"All others",ISL,"Iceland",61
2016,IRQ,"Iraq",All others,"All others",NOR,"Norway",13
2016,SYR,"Syrian Arab Rep.",All others,"All others",ROU,"Romania",15
2016,SYR,"Syrian Arab Rep.",All others,"All others",DEU,"Germany",2205
2016,IRQ,"Iraq",All others,"All others",AUS,"Australia",912
2016,SYR,"Syrian Arab Rep.",All others,"All others",ITA,"Italy",1094
2016,IRQ,"Iraq",All others,"All others",NZL,"New Zealand",19
2016,SYR,"Syrian Arab Rep.",All others,"All others",SWE,"Sweden",1012
2016,SYR,"Syrian Arab Rep.",All others,"All others",DNK,"Denmark",5
2016,SYR,"Syrian Arab Rep.",All others,"All others",LTU,"Lithuania",85
2016,IRQ,"Iraq",All others,"All others",CAN,"Canada",373
2016,IRQ,"Iraq",All others,"All others",SWE,"Sweden",109
2016,SYR,"Syrian Arab Rep.",All others,"All others",USA,"United States of America",34450
2016,SYR,"Syrian Arab Rep.",All others,"All others",ESP,"Spain",711
2016,SYR,"Syrian Arab Rep.",All others,"All others",LUX,"Luxembourg",164
2016,SYR,"Syrian Arab Rep.",CUB,"Cuba",USA,"United States of America",8
2016,IRQ,"Iraq",All others,"All others",CHE,"Switzerland",187
2016,IRQ,"Iraq",ECU,"Ecuador",USA,"United States of America",11
2016,IRQ,"Iraq",All others,"All others",USA,"United States of America",10758
2016,SYR,"Syrian Arab Rep.",All others,"All others",EST,"Estonia",66
2016,SYR,"Syrian Arab Rep.",All others,"All others",LVA,"Latvia",53
2016,SYR,"Syrian Arab Rep.",CUW,"Curacao",CAN,"Canada",3
2016,IRQ,"Iraq",All others,"All others",CZE,"Czechia",2
2016,SYR,"Syrian Arab Rep.",All others,"All others",AUS,"Australia",431
